ReservationID,UserID,FacilityID,StartTime,EndTime,Purpose,Status,LastModifiedBy,CancellationReason
R0282,U262,F001,12/25/2025 08:00,12/25/2025 10:00,Conference,Completed,U207,
R0283,U081,F021,02/17/2025 08:00,02/17/2025 11:00,Tournament,Completed,U025,
R0284,U215,F011,06/18/2025 12:30,06/18/2025 16:30,Team Meeting,Completed,U140,
R0285,U189,F005,10/24/2025 17:30,10/24/2025 19:30,Study Group,Confirmed,U006,
R0286,U035,F009,07/12/2025 11:30,07/12/2025 13:30,Basketball Practice,Confirmed,U279,
R0287,U078,F005,03/11/2025 16:30,03/11/2025 17:30,Training Session,Cancelled,U023,Scheduling Conflict
R0288,U274,F021,09/04/2025 15:00,09/04/2025 16:00,Student Organization Meeting,Confirmed,U267,
R0289,U224,F008,06/07/2025 08:00,06/07/2025 11:00,Student Organization Meeting,Confirmed,U261,
R0290,U191,F023,09/15/2025 12:00,09/15/2025 16:00,Conference,Confirmed,U298,
R0291,U005,F034,05/25/2025 11:30,05/25/2025 12:30,Career Fair,Confirmed,U161,
R0292,U215,F032,03/12/2025 13:00,03/12/2025 17:00,Fitness Class,Completed,U227,
R0293,U024,F005,02/20/2025 14:30,02/20/2025 18:30,Basketball Practice,Confirmed,U119,
R0294,U269,F003,06/22/2025 08:30,06/22/2025 09:30,Volleyball Practice,Cancelled,U189,Scheduling Conflict
R0295,U093,F001,06/06/2025 09:30,06/06/2025 10:30,Study Group,Confirmed,U134,
R0296,U118,F013,11/18/2025 14:00,11/18/2025 17:00,Guest Lecture,Confirmed,U219,
R0297,U237,F011,06/23/2025 07:30,06/23/2025 10:30,Study Group,Completed,U233,
R0298,U116,F024,12/31/2025 11:00,12/31/2025 12:00,Team Meeting,Completed,U184,
R0299,U151,F025,01/05/2025 13:00,01/05/2025 14:00,Career Fair,Completed,U203,
R0300,U021,F024,04/09/2025 09:00,04/09/2025 10:00,Volleyball Practice,Completed,U181,
R0301,U022,F030,09/02/2025 19:00,09/02/2025 21:00,Guest Lecture,Completed,U265,
R0302,U104,F031,02/08/2025 18:00,02/08/2025 19:00,Volleyball Practice,Completed,U285,
R0303,U194,F004,03/17/2025 17:00,03/17/2025 19:00,Conference,Completed,U171,
R0304,U294,F007,07/28/2025 14:30,07/28/2025 17:30,Volleyball Practice,Confirmed,U245,
R0305,U045,F002,05/23/2025 16:00,05/23/2025 19:00,Training Session,Confirmed,U258,
R0306,U035,F023,05/01/2025 14:00,05/01/2025 16:00,Volleyball Practice,Confirmed,U013,
R0307,U195,F034,10/30/2025 15:00,10/30/2025 17:00,Conference,Completed,U012,
R0308,U283,F023,10/31/2025 20:30,11/01/2025 00:30,Conference,Completed,U199,
R0309,U085,F011,10/13/2025 07:30,10/13/2025 09:30,Basketball Practice,Confirmed,U290,
R0310,U109,F015,07/27/2025 10:30,07/27/2025 12:30,Tournament,Completed,U013,
R0311,U156,F019,03/19/2025 08:30,03/19/2025 11:30,Training Session,Cancelled,U061,Scheduling Conflict
R0312,U066,F019,07/02/2025 13:30,07/02/2025 17:30,Basketball Practice,Confirmed,U167,
R0313,U268,F005,06/03/2025 14:00,06/03/2025 18:00,Swimming Training,Confirmed,U115,
R0314,U166,F003,12/14/2025 08:00,12/14/2025 12:00,Team Meeting,Completed,U036,
R0315,U014,F002,10/12/2025 09:00,10/12/2025 13:00,Guest Lecture,Confirmed,U283,
R0316,U090,F027,07/22/2025 14:00,07/22/2025 15:00,Workshop,Cancelled,U215,Scheduling Conflict
R0317,U168,F009,10/20/2025 17:30,10/20/2025 20:30,Swimming Training,Confirmed,U176,
R0318,U166,F009,05/15/2025 16:00,05/15/2025 20:00,Yoga Session,Confirmed,U149,
R0319,U040,F023,12/21/2025 16:00,12/21/2025 19:00,Yoga Session,Confirmed,U162,
R0320,U253,F026,07/12/2025 17:30,07/12/2025 19:30,Tournament,Confirmed,U229,
R0321,U190,F001,09/10/2025 20:00,09/11/2025 00:00,Workshop,Cancelled,U037,Scheduling Conflict
R0322,U162,F007,01/04/2025 16:00,01/04/2025 17:00,Dance Rehearsal,Completed,U268,
R0323,U053,F024,12/03/2025 20:30,12/04/2025 00:30,Guest Lecture,Confirmed,U161,
R0324,U074,F033,07/01/2025 10:30,07/01/2025 14:30,Fitness Class,Confirmed,U058,
R0325,U105,F035,07/24/2025 13:00,07/24/2025 15:00,Workshop,Completed,U135,
R0326,U280,F001,06/03/2025 08:00,06/03/2025 09:00,Student Organization Meeting,Confirmed,U036,
R0327,U032,F021,04/18/2025 13:30,04/18/2025 15:30,Tournament,Completed,U280,
R0328,U171,F014,04/07/2025 08:00,04/07/2025 11:00,Tournament,Confirmed,U247,
R0329,U187,F013,06/30/2025 07:30,06/30/2025 10:30,Study Group,Confirmed,U265,
R0330,U225,F029,03/04/2025 07:30,03/04/2025 08:30,Training Session,Completed,U083,
R0331,U176,F013,03/15/2025 12:00,03/15/2025 15:00,Study Group,Cancelled,U156,Scheduling Conflict
R0332,U188,F004,07/29/2025 06:00,07/29/2025 07:00,Fitness Class,Confirmed,U091,
R0333,U155,F023,01/10/2025 11:30,01/10/2025 12:30,Conference,Confirmed,U021,
R0334,U258,F034,07/11/2025 18:30,07/11/2025 19:30,Guest Lecture,Confirmed,U189,
R0335,U088,F007,10/26/2025 06:00,10/26/2025 10:00,Training Session,Cancelled,U179,Scheduling Conflict
R0336,U019,F033,03/07/2025 14:00,03/07/2025 18:00,Training Session,Confirmed,U174,
R0337,U165,F025,05/23/2025 11:30,05/23/2025 15:30,Fitness Class,Completed,U146,
R0338,U092,F007,05/12/2025 12:30,05/12/2025 14:30,Career Fair,Confirmed,U062,
R0339,U080,F006,08/05/2025 13:00,08/05/2025 15:00,Student Organization Meeting,Confirmed,U124,
R0340,U100,F028,06/23/2025 14:00,06/23/2025 15:00,Swimming Training,Confirmed,U043,
R0341,U147,F006,12/24/2025 09:00,12/24/2025 12:00,Student Organization Meeting,Completed,U197,
R0342,U178,F032,09/10/2025 14:30,09/10/2025 17:30,Study Group,Confirmed,U272,
R0343,U288,F033,01/23/2025 10:00,01/23/2025 13:00,Conference,Completed,U050,
R0344,U213,F009,08/16/2025 07:30,08/16/2025 11:30,Swimming Training,Confirmed,U230,
R0345,U096,F006,04/09/2025 12:00,04/09/2025 16:00,Workshop,Completed,U105,
R0346,U158,F001,08/24/2025 06:30,08/24/2025 10:30,Guest Lecture,Cancelled,U279,Scheduling Conflict
R0347,U202,F023,12/24/2025 18:30,12/24/2025 19:30,Dance Rehearsal,Cancelled,U017,Scheduling Conflict
R0348,U115,F024,02/20/2025 20:00,02/21/2025 00:00,Career Fair,Confirmed,U180,
R0349,U137,F025,02/28/2025 08:30,02/28/2025 09:30,Fitness Class,Confirmed,U176,
R0350,U205,F019,10/16/2025 11:00,10/16/2025 15:00,Swimming Training,Completed,U055,
R0351,U295,F018,09/28/2025 12:30,09/28/2025 16:30,Swimming Training,Cancelled,U283,Scheduling Conflict
R0352,U232,F014,12/18/2025 14:00,12/18/2025 18:00,Student Organization Meeting,Completed,U088,
R0353,U203,F024,09/22/2025 19:30,09/22/2025 21:30,Yoga Session,Confirmed,U012,
R0354,U141,F019,12/06/2025 09:30,12/06/2025 11:30,Workshop,Completed,U123,
R0355,U207,F016,04/10/2025 16:30,04/10/2025 19:30,Study Group,Confirmed,U163,
R0356,U130,F026,05/24/2025 07:30,05/24/2025 11:30,Fitness Class,Confirmed,U060,
R0357,U067,F010,10/05/2025 18:30,10/05/2025 20:30,Yoga Session,Confirmed,U127,
R0358,U058,F033,07/23/2025 07:30,07/23/2025 08:30,Guest Lecture,Confirmed,U284,
R0359,U227,F005,07/25/2025 09:00,07/25/2025 12:00,Study Group,Confirmed,U037,
R0360,U191,F015,07/27/2025 07:30,07/27/2025 08:30,Fitness Class,Completed,U039,
R0361,U075,F032,03/07/2025 13:30,03/07/2025 15:30,Basketball Practice,Cancelled,U017,Scheduling Conflict
R0362,U173,F011,12/17/2025 15:30,12/17/2025 19:30,Volleyball Practice,Confirmed,U218,
R0363,U150,F007,03/27/2025 11:30,03/27/2025 12:30,Yoga Session,Confirmed,U208,
R0364,U287,F027,02/24/2025 16:30,02/24/2025 20:30,Basketball Practice,Confirmed,U156,
R0365,U096,F023,07/03/2025 07:00,07/03/2025 10:00,Guest Lecture,Confirmed,U238,
R0366,U079,F028,11/03/2025 17:30,11/03/2025 18:30,Volleyball Practice,Cancelled,U145,Scheduling Conflict
R0367,U032,F009,12/30/2025 10:30,12/30/2025 13:30,Dance Rehearsal,Confirmed,U227,
R0368,U014,F007,11/02/2025 10:00,11/02/2025 12:00,Fitness Class,Completed,U284,
R0369,U025,F030,01/24/2025 09:00,01/24/2025 13:00,Career Fair,Confirmed,U247,
R0370,U078,F019,11/11/2025 18:30,11/11/2025 20:30,Guest Lecture,Confirmed,U054,
R0371,U167,F006,01/21/2025 07:30,01/21/2025 08:30,Guest Lecture,Confirmed,U122,
R0372,U291,F018,01/25/2025 11:00,01/25/2025 14:00,Swimming Training,Confirmed,U245,
R0373,U156,F032,10/14/2025 12:00,10/14/2025 14:00,Tournament,Completed,U024,
R0374,U075,F033,12/12/2025 12:30,12/12/2025 14:30,Career Fair,Confirmed,U172,
R0375,U247,F002,03/28/2025 07:30,03/28/2025 11:30,Volleyball Practice,Completed,U132,
R0376,U166,F023,07/15/2025 11:00,07/15/2025 12:00,Student Organization Meeting,Cancelled,U244,Scheduling Conflict
R0377,U298,F003,02/06/2025 12:00,02/06/2025 16:00,Study Group,Completed,U147,
R0378,U172,F011,12/28/2025 08:30,12/28/2025 11:30,Yoga Session,Confirmed,U145,
R0379,U064,F003,07/10/2025 11:00,07/10/2025 13:00,Swimming Training,Confirmed,U269,
R0380,U176,F033,04/12/2025 08:00,04/12/2025 09:00,Training Session,Confirmed,U167,
R0381,U050,F001,11/26/2025 13:30,11/26/2025 14:30,Volleyball Practice,Completed,U050,
R0382,U009,F021,06/25/2025 14:30,06/25/2025 15:30,Dance Rehearsal,Completed,U276,
R0383,U205,F017,08/12/2025 18:30,08/12/2025 22:30,Fitness Class,Completed,U222,
R0384,U034,F004,07/07/2025 15:00,07/07/2025 16:00,Dance Rehearsal,Confirmed,U200,
R0385,U232,F004,06/18/2025 12:00,06/18/2025 14:00,Basketball Practice,Confirmed,U029,
R0386,U138,F018,08/14/2025 16:30,08/14/2025 19:30,Tournament,Completed,U239,
R0387,U268,F030,05/11/2025 06:30,05/11/2025 07:30,Student Organization Meeting,Completed,U167,
R0388,U035,F009,08/15/2025 09:30,08/15/2025 10:30,Yoga Session,Cancelled,U105,Scheduling Conflict
R0389,U050,F035,03/26/2025 15:00,03/26/2025 19:00,Career Fair,Confirmed,U254,
R0390,U163,F024,05/06/2025 15:00,05/06/2025 18:00,Conference,Cancelled,U093,Scheduling Conflict
R0391,U036,F028,04/02/2025 16:30,04/02/2025 20:30,Conference,Completed,U131,
R0392,U104,F014,06/20/2025 15:30,06/20/2025 18:30,Tournament,Confirmed,U013,
R0393,U019,F025,07/14/2025 16:30,07/14/2025 18:30,Yoga Session,Confirmed,U055,
R0394,U174,F019,01/18/2025 06:30,01/18/2025 10:30,Career Fair,Confirmed,U187,
R0395,U028,F006,06/03/2025 19:00,06/03/2025 21:00,Dance Rehearsal,Confirmed,U111,
R0396,U095,F025,06/08/2025 19:30,06/08/2025 22:30,Yoga Session,Confirmed,U060,
R0397,U232,F011,01/06/2025 09:30,01/06/2025 10:30,Volleyball Practice,Confirmed,U186,
R0398,U090,F013,05/17/2025 20:00,05/17/2025 21:00,Team Meeting,Completed,U213,
R0399,U027,F031,11/10/2025 14:30,11/10/2025 17:30,Fitness Class,Completed,U027,
R0400,U297,F021,03/27/2025 12:30,03/27/2025 16:30,Volleyball Practice,Completed,U038,
R0401,U162,F022,09/13/2025 12:00,09/13/2025 13:00,Career Fair,Cancelled,U090,Scheduling Conflict
R0402,U122,F011,01/09/2025 18:30,01/09/2025 19:30,Guest Lecture,Confirmed,U165,
R0403,U117,F018,06/02/2025 09:00,06/02/2025 11:00,Study Group,Completed,U104,
R0404,U098,F022,06/23/2025 12:30,06/23/2025 13:30,Team Meeting,Completed,U196,
R0405,U173,F030,07/01/2025 09:00,07/01/2025 11:00,Swimming Training,Confirmed,U120,
R0406,U220,F013,10/02/2025 13:00,10/02/2025 16:00,Basketball Practice,Confirmed,U176,
R0407,U091,F016,07/20/2025 19:30,07/20/2025 22:30,Swimming Training,Completed,U251,
R0408,U212,F033,12/31/2025 20:30,12/31/2025 23:30,Basketball Practice,Confirmed,U123,
R0409,U266,F030,07/17/2025 08:30,07/17/2025 11:30,Team Meeting,Confirmed,U271,
R0410,U163,F032,10/19/2025 13:00,10/19/2025 15:00,Team Meeting,Confirmed,U050,
R0411,U170,F025,08/26/2025 15:30,08/26/2025 16:30,Study Group,Confirmed,U099,
R0412,U299,F008,01/11/2025 11:00,01/11/2025 15:00,Guest Lecture,Confirmed,U193,
R0413,U056,F010,10/02/2025 08:00,10/02/2025 12:00,Team Meeting,Completed,U012,
R0414,U298,F019,01/14/2025 17:30,01/14/2025 19:30,Dance Rehearsal,Cancelled,U150,Scheduling Conflict
R0415,U253,F018,03/21/2025 06:00,03/21/2025 09:00,Guest Lecture,Confirmed,U139,
R0416,U093,F032,08/10/2025 13:00,08/10/2025 15:00,Yoga Session,Confirmed,U066,
R0417,U161,F021,12/14/2025 12:30,12/14/2025 13:30,Career Fair,Completed,U127,
R0418,U148,F023,10/29/2025 10:30,10/29/2025 14:30,Student Organization Meeting,Confirmed,U176,
R0419,U055,F004,10/27/2025 07:00,10/27/2025 09:00,Career Fair,Confirmed,U283,
R0420,U125,F016,02/09/2025 11:00,02/09/2025 12:00,Guest Lecture,Confirmed,U235,
R0421,U059,F009,08/30/2025 14:00,08/30/2025 17:00,Guest Lecture,Cancelled,U099,Scheduling Conflict
R0422,U204,F034,03/10/2025 06:30,03/10/2025 09:30,Basketball Practice,Confirmed,U273,
R0423,U220,F014,10/13/2025 11:00,10/13/2025 14:00,Swimming Training,Confirmed,U161,
R0424,U198,F017,06/16/2025 17:00,06/16/2025 19:00,Workshop,Confirmed,U281,
R0425,U043,F015,07/27/2025 16:30,07/27/2025 19:30,Workshop,Completed,U259,
R0426,U209,F020,02/06/2025 20:30,02/06/2025 21:30,Career Fair,Confirmed,U085,
R0427,U082,F024,02/02/2025 12:30,02/02/2025 16:30,Volleyball Practice,Confirmed,U025,
R0428,U119,F018,03/30/2025 11:00,03/30/2025 12:00,Basketball Practice,Confirmed,U016,
R0429,U286,F023,12/27/2025 20:30,12/27/2025 23:30,Team Meeting,Completed,U288,
R0430,U051,F014,07/23/2025 07:00,07/23/2025 08:00,Study Group,Confirmed,U094,
R0431,U247,F012,10/01/2025 19:30,10/01/2025 23:30,Yoga Session,Confirmed,U191,
R0432,U043,F019,05/03/2025 15:30,05/03/2025 19:30,Training Session,Completed,U027,
R0433,U150,F012,04/28/2025 10:30,04/28/2025 13:30,Basketball Practice,Confirmed,U170,
R0434,U139,F011,01/13/2025 12:00,01/13/2025 14:00,Yoga Session,Confirmed,U094,
R0435,U061,F022,10/12/2025 13:30,10/12/2025 14:30,Dance Rehearsal,Completed,U023,
R0436,U257,F029,12/13/2025 09:30,12/13/2025 12:30,Study Group,Confirmed,U119,
R0437,U212,F020,04/26/2025 11:30,04/26/2025 12:30,Workshop,Completed,U203,
R0438,U083,F003,12/10/2025 14:30,12/10/2025 15:30,Yoga Session,Completed,U271,
R0439,U287,F023,10/15/2025 07:30,10/15/2025 08:30,Team Meeting,Confirmed,U240,
R0440,U219,F007,07/26/2025 15:30,07/26/2025 19:30,Yoga Session,Confirmed,U105,
R0441,U293,F031,09/30/2025 15:00,09/30/2025 16:00,Dance Rehearsal,Confirmed,U105,
R0442,U264,F011,07/27/2025 11:00,07/27/2025 13:00,Yoga Session,Completed,U058,
R0443,U181,F018,10/22/2025 11:30,10/22/2025 12:30,Training Session,Confirmed,U230,
R0444,U091,F029,02/01/2025 20:00,02/01/2025 23:00,Student Organization Meeting,Confirmed,U168,
R0445,U105,F025,05/08/2025 07:00,05/08/2025 10:00,Career Fair,Confirmed,U227,
R0446,U264,F020,08/01/2025 11:30,08/01/2025 15:30,Volleyball Practice,Cancelled,U192,Scheduling Conflict
R0447,U149,F003,02/21/2025 20:30,02/21/2025 22:30,Dance Rehearsal,Confirmed,U146,
R0448,U060,F023,04/24/2025 09:30,04/24/2025 10:30,Volleyball Practice,Confirmed,U127,
R0449,U015,F012,05/27/2025 19:00,05/27/2025 20:00,Guest Lecture,Confirmed,U288,
R0450,U286,F025,01/01/2025 20:30,01/01/2025 22:30,Training Session,Completed,U064,
R0451,U260,F032,06/21/2025 06:30,06/21/2025 09:30,Basketball Practice,Cancelled,U166,Scheduling Conflict
R0452,U065,F033,05/11/2025 08:00,05/11/2025 09:00,Yoga Session,Confirmed,U090,
R0453,U179,F006,02/10/2025 12:00,02/10/2025 13:00,Team Meeting,Confirmed,U120,
R0454,U248,F007,10/25/2025 07:00,10/25/2025 08:00,Student Organization Meeting,Completed,U190,
R0455,U160,F009,11/23/2025 10:00,11/23/2025 11:00,Guest Lecture,Completed,U175,
R0456,U268,F014,10/31/2025 19:30,10/31/2025 23:30,Conference,Confirmed,U118,
R0457,U199,F013,08/28/2025 14:00,08/28/2025 18:00,Workshop,Confirmed,U032,
R0458,U132,F001,09/25/2025 19:30,09/25/2025 22:30,Yoga Session,Completed,U133,
R0459,U038,F011,08/15/2025 16:00,08/15/2025 19:00,Tournament,Completed,U007,
R0460,U092,F006,08/15/2025 11:30,08/15/2025 12:30,Guest Lecture,Confirmed,U174,
R0461,U196,F021,03/15/2025 18:00,03/15/2025 21:00,Yoga Session,Cancelled,U136,Scheduling Conflict
R0462,U170,F004,02/03/2025 14:00,02/03/2025 18:00,Volleyball Practice,Completed,U248,
R0463,U007,F015,10/14/2025 20:00,10/14/2025 22:00,Workshop,Completed,U038,
R0464,U178,F023,04/22/2025 09:30,04/22/2025 13:30,Yoga Session,Confirmed,U075,
R0465,U111,F022,12/20/2025 14:30,12/20/2025 16:30,Volleyball Practice,Completed,U040,
R0466,U065,F024,07/15/2025 09:30,07/15/2025 13:30,Student Organization Meeting,Confirmed,U003,
R0467,U075,F027,06/01/2025 13:30,06/01/2025 16:30,Dance Rehearsal,Cancelled,U272,Scheduling Conflict
R0468,U127,F006,08/05/2025 09:30,08/05/2025 11:30,Yoga Session,Confirmed,U073,
R0469,U022,F001,06/17/2025 13:30,06/17/2025 14:30,Conference,Confirmed,U059,
R0470,U129,F019,01/01/2025 08:30,01/01/2025 12:30,Study Group,Cancelled,U265,Scheduling Conflict
R0471,U059,F032,10/27/2025 19:30,10/27/2025 21:30,Guest Lecture,Confirmed,U109,
R0472,U235,F015,04/16/2025 08:30,04/16/2025 10:30,Training Session,Confirmed,U012,
R0473,U035,F004,07/21/2025 07:00,07/21/2025 10:00,Guest Lecture,Confirmed,U235,
R0474,U203,F005,12/16/2025 19:00,12/16/2025 23:00,Career Fair,Confirmed,U054,
R0475,U018,F004,11/11/2025 07:00,11/11/2025 08:00,Student Organization Meeting,Completed,U210,
R0476,U184,F016,01/03/2025 20:30,01/04/2025 00:30,Basketball Practice,Confirmed,U130,
R0477,U175,F009,04/02/2025 19:30,04/02/2025 21:30,Fitness Class,Confirmed,U108,
R0478,U004,F022,10/05/2025 08:30,10/05/2025 11:30,Swimming Training,Confirmed,U046,
R0479,U299,F016,01/14/2025 19:00,01/14/2025 23:00,Student Organization Meeting,Confirmed,U118,
R0480,U085,F008,01/31/2025 14:30,01/31/2025 18:30,Student Organization Meeting,Confirmed,U157,
R0481,U146,F009,03/08/2025 20:30,03/08/2025 21:30,Team Meeting,Confirmed,U233,
R0482,U173,F018,09/19/2025 09:00,09/19/2025 12:00,Dance Rehearsal,Confirmed,U281,
R0483,U045,F012,12/17/2025 16:30,12/17/2025 20:30,Guest Lecture,Confirmed,U029,
R0484,U266,F017,07/07/2025 20:30,07/07/2025 23:30,Swimming Training,Cancelled,U196,Scheduling Conflict
R0485,U234,F018,06/30/2025 06:30,06/30/2025 09:30,Dance Rehearsal,Completed,U001,
R0486,U032,F015,05/09/2025 07:00,05/09/2025 08:00,Volleyball Practice,Confirmed,U017,
R0487,U109,F018,05/06/2025 10:00,05/06/2025 11:00,Study Group,Confirmed,U115,
R0488,U096,F019,03/29/2025 19:30,03/29/2025 20:30,Team Meeting,Confirmed,U181,
R0489,U029,F011,09/30/2025 16:30,09/30/2025 20:30,Career Fair,Confirmed,U005,
R0490,U178,F026,06/19/2025 13:30,06/19/2025 16:30,Study Group,Confirmed,U086,
R0491,U008,F028,07/26/2025 16:00,07/26/2025 20:00,Training Session,Confirmed,U159,
R0492,U011,F013,11/01/2025 10:30,11/01/2025 13:30,Fitness Class,Confirmed,U194,
R0493,U110,F013,08/01/2025 09:00,08/01/2025 10:00,Swimming Training,Confirmed,U056,
R0494,U089,F013,08/22/2025 08:00,08/22/2025 10:00,Team Meeting,Cancelled,U278,Scheduling Conflict
R0495,U123,F025,09/08/2025 06:00,09/08/2025 09:00,Conference,Completed,U038,
R0496,U268,F007,03/16/2025 07:30,03/16/2025 10:30,Study Group,Completed,U088,
R0497,U085,F019,04/27/2025 09:00,04/27/2025 12:00,Yoga Session,Completed,U049,
R0498,U258,F009,11/09/2025 14:30,11/09/2025 16:30,Workshop,Completed,U072,
R0499,U207,F024,05/10/2025 13:00,05/10/2025 15:00,Guest Lecture,Confirmed,U188,
R0500,U042,F031,11/12/2025 18:00,11/12/2025 21:00,Study Group,Completed,U183,
R0501,U076,F016,03/02/2025 12:30,03/02/2025 16:30,Swimming Training,Completed,U228,
R0502,U018,F034,10/02/2025 19:30,10/02/2025 22:30,Swimming Training,Confirmed,U073,
R0503,U091,F028,12/05/2025 07:00,12/05/2025 11:00,Workshop,Confirmed,U282,
R0504,U282,F035,10/15/2025 07:30,10/15/2025 09:30,Conference,Completed,U018,
R0505,U045,F015,02/03/2025 20:00,02/03/2025 21:00,Guest Lecture,Confirmed,U248,
R0506,U225,F025,01/31/2025 13:30,01/31/2025 17:30,Volleyball Practice,Confirmed,U031,
R0507,U134,F015,09/27/2025 12:00,09/27/2025 14:00,Workshop,Confirmed,U177,
R0508,U277,F035,11/19/2025 12:30,11/19/2025 15:30,Yoga Session,Confirmed,U061,
R0509,U184,F026,01/30/2025 20:30,01/30/2025 21:30,Conference,Confirmed,U221,
R0510,U097,F003,10/24/2025 17:30,10/24/2025 21:30,Fitness Class,Completed,U077,
R0511,U059,F032,09/21/2025 08:30,09/21/2025 11:30,Study Group,Completed,U037,
R0512,U170,F026,07/13/2025 17:30,07/13/2025 21:30,Team Meeting,Confirmed,U294,
R0513,U223,F013,10/24/2025 19:00,10/24/2025 21:00,Team Meeting,Confirmed,U031,
R0514,U274,F028,05/27/2025 10:00,05/27/2025 12:00,Dance Rehearsal,Completed,U268,
R0515,U150,F025,11/27/2025 19:30,11/27/2025 20:30,Yoga Session,Completed,U122,
R0516,U133,F006,08/28/2025 08:30,08/28/2025 11:30,Team Meeting,Confirmed,U244,
R0517,U118,F025,06/12/2025 10:30,06/12/2025 14:30,Yoga Session,Confirmed,U079,
R0518,U090,F026,05/20/2025 12:00,05/20/2025 16:00,Training Session,Confirmed,U239,
R0519,U193,F004,03/27/2025 09:00,03/27/2025 11:00,Fitness Class,Confirmed,U103,
R0520,U039,F035,06/10/2025 09:00,06/10/2025 12:00,Swimming Training,Confirmed,U215,
R0521,U175,F021,11/23/2025 16:30,11/23/2025 18:30,Guest Lecture,Confirmed,U293,
R0522,U211,F007,12/20/2025 16:30,12/20/2025 20:30,Workshop,Confirmed,U073,
R0523,U104,F003,09/24/2025 08:00,09/24/2025 11:00,Workshop,Confirmed,U021,
R0524,U118,F014,07/12/2025 08:30,07/12/2025 09:30,Tournament,Confirmed,U088,
R0525,U246,F001,06/14/2025 17:30,06/14/2025 19:30,Dance Rehearsal,Completed,U042,
R0526,U158,F032,03/25/2025 06:30,03/25/2025 07:30,Guest Lecture,Confirmed,U247,
R0527,U114,F009,01/24/2025 15:30,01/24/2025 16:30,Basketball Practice,Confirmed,U180,
R0528,U037,F001,05/07/2025 06:30,05/07/2025 08:30,Study Group,Confirmed,U253,
R0529,U059,F027,11/03/2025 12:30,11/03/2025 16:30,Dance Rehearsal,Confirmed,U165,
R0530,U072,F028,07/31/2025 14:00,07/31/2025 17:00,Yoga Session,Cancelled,U134,Scheduling Conflict
R0531,U100,F012,05/18/2025 11:30,05/18/2025 12:30,Workshop,Confirmed,U265,
R0532,U021,F002,05/28/2025 11:30,05/28/2025 14:30,Training Session,Confirmed,U235,
R0533,U134,F004,09/04/2025 13:00,09/04/2025 17:00,Training Session,Confirmed,U292,
R0534,U152,F018,11/29/2025 12:00,11/29/2025 14:00,Fitness Class,Completed,U259,
R0535,U226,F033,02/16/2025 09:30,02/16/2025 10:30,Fitness Class,Cancelled,U243,Scheduling Conflict
R0536,U195,F025,05/10/2025 13:30,05/10/2025 17:30,Swimming Training,Completed,U178,
R0537,U060,F014,04/15/2025 07:00,04/15/2025 10:00,Training Session,Confirmed,U253,
R0538,U283,F005,08/01/2025 15:00,08/01/2025 16:00,Swimming Training,Confirmed,U068,
R0539,U101,F019,08/30/2025 16:30,08/30/2025 18:30,Student Organization Meeting,Confirmed,U184,
R0540,U252,F009,04/10/2025 09:00,04/10/2025 11:00,Training Session,Completed,U175,
R0541,U046,F034,10/20/2025 16:30,10/20/2025 19:30,Tournament,Completed,U298,
R0542,U220,F007,05/25/2025 17:00,05/25/2025 19:00,Workshop,Completed,U054,
R0543,U056,F016,02/18/2025 10:30,02/18/2025 12:30,Tournament,Confirmed,U214,
R0544,U115,F002,11/17/2025 07:00,11/17/2025 10:00,Volleyball Practice,Confirmed,U192,
R0545,U253,F029,02/16/2025 06:30,02/16/2025 08:30,Career Fair,Completed,U045,
R0546,U186,F003,08/31/2025 17:30,08/31/2025 20:30,Swimming Training,Confirmed,U103,
R0547,U084,F016,01/24/2025 08:00,01/24/2025 12:00,Dance Rehearsal,Cancelled,U131,Scheduling Conflict
R0548,U190,F011,11/13/2025 20:30,11/13/2025 22:30,Yoga Session,Cancelled,U229,Scheduling Conflict
R0549,U181,F021,05/27/2025 18:30,05/27/2025 22:30,Yoga Session,Confirmed,U008,
R0550,U089,F017,08/01/2025 17:30,08/01/2025 18:30,Basketball Practice,Completed,U204,
R0551,U002,F030,02/24/2025 14:00,02/24/2025 18:00,Basketball Practice,Completed,U235,
R0552,U225,F008,12/06/2025 11:30,12/06/2025 12:30,Training Session,Confirmed,U087,
R0553,U152,F025,08/25/2025 11:00,08/25/2025 15:00,Study Group,Confirmed,U166,
R0554,U166,F019,11/10/2025 10:00,11/10/2025 11:00,Yoga Session,Confirmed,U031,
R0555,U050,F005,01/17/2025 15:30,01/17/2025 18:30,Yoga Session,Confirmed,U268,
R0556,U083,F018,09/21/2025 20:00,09/22/2025 00:00,Guest Lecture,Cancelled,U271,Scheduling Conflict
R0557,U118,F017,12/28/2025 09:00,12/28/2025 11:00,Study Group,Completed,U136,
R0558,U190,F009,04/25/2025 16:00,04/25/2025 20:00,Tournament,Confirmed,U067,
R0559,U034,F014,02/17/2025 10:00,02/17/2025 13:00,Fitness Class,Completed,U003,
R0560,U091,F013,02/26/2025 17:30,02/26/2025 20:30,Study Group,Cancelled,U101,Scheduling Conflict
R0561,U045,F003,08/23/2025 08:00,08/23/2025 09:00,Conference,Confirmed,U146,
R0562,U294,F019,08/19/2025 17:30,08/19/2025 18:30,Basketball Practice,Cancelled,U297,Scheduling Conflict
R0563,U127,F020,09/10/2025 20:30,09/10/2025 22:30,Team Meeting,Confirmed,U190,
